scenario,year,rural_population_million,rural_55_59_million,rural_60_64_million,rural_65_69_million,rural_70_74_million,rural_75_79_million,rural_80plus_million,rural_55plus_million,rural_60plus_million,rural_65plus_million,rural_55plus_rate_pct,rural_60plus_rate_pct,rural_65plus_rate_pct,total_55plus_rate_pct,total_60plus_rate_pct,total_65plus_rate_pct
SSP1,2015,639.1342806600001,36.937861840000004,36.08662048,23.81690644,15.751723400000001,11.2019041,10.560184620000001,134.35520088,97.41733904,61.33071856,21.021435548920724,15.24207697628146,9.595905025883923,9.87544999217198,7.160422921917505,4.507964263059749
SSP1,2020,567.77448768,37.5819008,31.27049344,29.493676160000003,18.364862079999998,11.07705408,11.204176640000002,138.9921632,101.4102624,70.13976896,24.480170598707236,17.861010771085446,12.353455550037157,10.13674904151269,7.39588734009106,5.115318874159386
SSP1,2025,499.07552961,42.419616049999995,31.909279219999995,25.77834042,23.059465659999994,13.210279949999997,11.921108079999998,148.29808938,105.87847332999999,73.96919410999999,29.71455833466465,21.21491979635591,14.82124242152342,10.818179252901357,7.723715850259295,5.39596972840403
SSP1,2030,434.8538281800001,36.434293020000005,36.15761412000001,26.54102322000001,20.502066420000006,16.970812020000004,14.138451720000003,150.74426052000004,114.30996750000003,78.15235338000002,34.66550154356744,26.286986590050997,17.972097361334537,11.088107323725485,8.408155530693714,5.748555061996466
SSP1,2035,376.4380258000001,24.792049760000005,31.206540000000007,30.273998620000004,21.399252240000003,15.490251720000003,18.443908560000004,141.6060009,116.81395114,85.60741114,37.61734766275569,31.03138979962209,22.741435581080975,10.575741121907138,8.724164928265758,6.393527199265106
SSP1,2040,323.8579348000002,23.920565600000014,21.359521180000012,26.355920660000013,24.695485040000012,16.51503758000001,20.54699390000001,133.39352396000007,109.47295836000005,88.11343718000003,41.188900942747566,33.802771708405274,27.20743502375968,10.190957871254607,8.363481776093638,6.731663573578624
SSP1,2045,277.09593996,25.116954240000002,20.72401744,18.1999328,21.777537040000002,19.397193480000002,23.054629639999998,128.27026464,103.1533104,82.42929296,46.29092171416021,37.2265686804688,29.747564317217716,10.096975844292626,8.119859160583855,6.488538728871529
SSP1,2050,235.92903907999985,19.57006990999999,21.86862300999999,17.80309333999999,15.241738359999992,17.434322959999992,27.370892869999984,119.28874044999996,99.71867053999998,77.85004752999998,50.56127932159763,42.26638269237681,32.997229944043575,9.74164168689221,8.143463953340236,6.357576293318873
SSP2,2015,668.1303368,38.47696072,37.54980504,24.74015944,16.32225232,11.568374279999999,10.82400352,139.48155532,101.00459460000002,63.454789560000016,20.876399055316778,15.117498643118044,9.497366915550604,10.230270593067434,7.408179035073566,4.654089683296418
SSP2,2020,625.2320902800001,41.01956684,34.04297204000001,31.964046520000004,19.786964680000004,11.832558640000002,11.72648176,150.37259048000004,109.35302364000003,75.31005160000002,24.050683389052875,17.48998897209963,12.045135361857968,10.90265579392545,7.928561800832207,5.460300762237455
SSP2,2025,582.1487406,48.672206519999996,36.52695508,29.335123720000002,25.9438844,14.640033520000001,12.707165799999999,167.82536904,119.15316252,82.62620744,28.82860639138863,20.467821058445143,14.19331550126521,12.116086694172811,8.602215834443324,5.965166638871742
SSP2,2030,539.4893782500001,44.13521250000001,43.576049250000004,31.7734455,24.225718500000003,19.599238500000002,15.4369695,178.74663375000003,134.61142125000003,91.03537200000002,33.13255848146998,24.951635134440206,16.874358545352884,12.946547226634394,9.749851428782511,6.593655601596639
SSP2,2035,497.5335155,31.827713959999993,39.789926539999996,38.167893119999995,26.561116119999998,18.72134866,20.700149259999996,175.76814766,143.94043370000003,104.15050716000003,35.327900972331584,28.930801486879936,20.933365072970652,12.874193672337075,10.542962677848786,7.628536899891965
SSP2,2040,456.78577113000006,32.56454500000001,28.905381310000006,35.19835176,32.272657560000006,20.926556300000005,23.582527410000008,173.45001934000004,140.88547434000003,111.98009303000002,37.971852518724056,30.842789606050225,24.514794485165954,12.948021990359718,10.517082827767068,8.359299771496739
SSP2,2045,417.8080656,36.34179786,29.757043890000002,25.814322810000004,30.15112392,25.84025334,27.201446100000002,175.10598792000005,138.76419006000003,109.00714617000003,41.91062890768666,33.21242491111929,26.09024457521148,13.416849632217732,10.632293586796619,8.352269995862452
SSP2,2050,380.86136976,30.150793920000005,33.408416,26.78763984,22.402332960000003,24.558804000000002,33.44942272000001,170.75740944000006,140.60661552000005,107.19819952000005,44.83453114386553,36.91805645938925,28.146251636796627,13.518507830498336,11.131532383635047,8.48665779352692
SSP3,2015,694.3332906,39.86372976,38.8753224,25.58266704,16.84054968,11.89546224,11.05501092,144.11274204,104.24901228,65.37368988,20.75555702009717,15.014260973993402,9.415318373040718,10.552955411298207,7.633850849617206,4.787124473588823
SSP3,2020,677.96220014,44.124402360000005,36.52766234,34.17578952,21.036712220000002,12.47172666,12.109674260000002,160.44596735999997,116.32156499999996,79.79390265999996,23.665916378061738,17.15752957553967,11.76966837436105,11.578786247130486,8.39449292012854,5.758427948839888
SSP3,2025,660.3290076000001,54.45108160000001,40.684716200000004,32.4529694,28.421218800000005,15.8023262,13.216731600000003,185.02904380000004,130.57796220000003,89.89324600000003,28.020735371371565,19.774682120143776,13.613402556207804,13.242599536510202,9.345514769979948,6.433694048063808
SSP3,2030,640.8964138499999,51.335249350000005,50.43544275000001,36.397268600000004,27.33551975,21.630635950000002,16.1259637,203.26008010000004,151.92483075000004,101.48938800000003,31.71496605496259,23.705052402673864,15.835536883461693,14.53021169808111,10.860469758285031,7.255051223157974
